name;nicknames;description;tokens;properties;referrals;history
Cham Syndulla;['Cham Syndulla'];The freedom fighter Cham Syndulla came to prominence on Ryloth during the Clone Wars, after the Separatists invaded his homeworld. A dedicated fighter with no tolerance for corruption or dishonesty, Syndulla forged an alliance with Mace Windu that brought liberty to his fellow Twi'leks. Syndulla resisted the Empire after its rise to power, hatching a plot to ambush Emperor Palpatine and Darth Vader on Ryloth. Although he hoped his sacrifices would mean his daughter, Hera, wouldn't have to spend her life fighting, the young woman would grow up to continue his campaign to undermine Imperial power through the time of the Galactic Civil War.;"['freedom', 'fighter', 'cham', 'syndulla', 'came', 'prominence', 'ryloth', 'clone', 'wars', 'separatist', 'invaded', 'homeworld', 'dedicated', 'fighter', 'tolerance', 'corruption', 'dishonesty', 'syndulla', 'forge', 'alliance', 'mace', 'windu', 'brought', 'liberty', 'fellow', ""twi'lek"", 'syndulla', 'resistance', 'empire', 'rise', 'power', 'hatching', 'plot', 'ambush', 'emperor', 'palpatine', 'darth', 'vader', 'ryloth', 'although', 'hopes', 'sacrifice', 'would', 'means', 'daughter', 'hera', 'would', ""n't"", 'spends', 'life', 'fight', 'young', 'woman', 'would', 'growing', 'continues', 'campaign', 'undermine', 'imperial', 'power', 'time', 'galactic', 'civil', 'wars']";"{'Appearances': ['Star Wars: The Bad Batch', 'Star Wars: The Clone Wars', 'Star Wars Rebels'], 'Affiliations': ['Free Ryloth Movement'], 'Locations': ['Ryloth'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.9m '], 'species': [""Twi'lek""], 'Weapons': ['Blaster Pistol'], 'token': ['Kalikori']}";['Twi’lek', 'Republic', 'Ryloth', 'Orn Free Taa', 'Separatists', 'resistance movement', 'Ima-Gun Di', 'Republic', 'Mace Windu', 'Wat Tambor', 'Empire', 'Emperor Palpatine', 'Darth Vader.', 'Quasar Fire-Class Cruiser-Carrier', 'TIE bomber'];
Chancellor Villecham;['Chancellor Villecham'];A Tarsunt from the system of the same name, Lanever Villecham was elected chancellor of the New Republic two years before the First Order’s raid on Jakku. He focused his political efforts on such matters as improving trade relations with neutral systems. Despite Leia Organa’s warnings, Villecham didn’t consider the First Order to be a threat to galactic peace.;['tarsunt', 'systems', 'name', 'lanever', 'villecham', 'elected', 'chancellor', 'new', 'republic', 'two', 'years', 'first', 'order', 'raid', 'jakku', 'focused', 'political', 'efforts', 'matters', 'improvement', 'trade', 'relations', 'neutral', 'systems', 'despite', 'leia', 'organa', 'warned', 'villecham', 'considered', 'first', 'order', 'threat', 'galactic', 'peace'];{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The New Republic'], 'Locations': ['Hosnian Prime'], 'Gender': ['Male']};;
Chata Hyoki;['Chata Hyoki'];As a Selkath from the aquatic planet of Manaan, Chata Hyoki wore highly specialized armor that helped keep his skin moist as he made a name for himself in the galaxy as a feared bounty hunter. On the other hand, he was a drunk who haunted Coruscant cantinas. During the Clone Wars, he worked with fellow bounty hunter Robonino to intimidate Senators into changing their votes in the Senate on behalf of Count Dooku. Dooku raised the stakes by instructing the pair to assassinate Senator Amidala, a scheme the Sith lord had tried numerous times before with little success. Hyoki and his compatriot failed in their assassination attempt and were arrested when they attacked Senator Bail Organa at the Senate building.;['selkath', 'aquatic', 'planet', 'manaan', 'chata', 'hyoki', 'wore', 'highly', 'special', 'armor', 'help', 'keep', 'skin', 'moist', 'made', 'name', 'galaxy', 'feared', 'bounty', 'hunter', 'hands', 'drunk', 'haunted', 'coruscant', 'cantina', 'clone', 'wars', 'work', 'fellow', 'bounty', 'hunter', 'robonino', 'intimidating', 'senator', 'change', 'vote', 'senator', 'behalf', 'count', 'dooku', 'dooku', 'raised', 'stakes', 'instructing', 'pair', 'assassin', 'senator', 'amidala', 'scheming', 'sith', 'lord', 'tried', 'numerous', 'time', 'little', 'success', 'hyoki', 'compatriot', 'failed', 'assassin', 'attempt', 'arrested', 'attack', 'senator', 'bail', 'organa', 'senator', 'build'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Bounty Hunters'], 'Locations': ['Manaan'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.55m '], 'Weapons': ['Built-in Wrist Blaster', 'Grappling hook']};;
Chava;['Chava'];An elder Lasat mystic, Chava, or Chava the Wise, survived the Imperial purge of Lasan. Along with Gron, a fellow survivor, she was rescued by the Ghost crew. Chava believed in an ancient prophecy that would lead the Lasat to their original homeworld -- and the rebel Zeb was the key.;['elder', 'lasat', 'mystical', 'chava', 'chava', 'wise', 'survived', 'imperial', 'purge', 'lasan', 'along', 'gron', 'fellow', 'survivor', 'rescue', 'ghost', 'crew', 'chava', 'believed', 'ancient', 'prophecy', 'would', 'leading', 'lasat', 'original', 'homeworld', 'rebel', 'zeb', 'key'];{'Appearances': ['Star Wars Rebels'], 'Locations': ['Lira San'], 'Gender': ['Female'], 'species': ['Lasat']};;
Che Amanwe Papanoida;['Che Amanwe Papanoida'];Che Amanwe found herself caught in the war of wills between the Separatists and her father, Chairman Papanoida, when bounty hunters hired by the Trade Federation kidnapped her and her sister. Imprisoned on Tatooine, Che Amanwe proved she could defend herself quite ably.;['che', 'amanwe', 'found', 'caught', 'wars', 'will', 'separatist', 'father', 'chairman', 'papanoida', 'bounty', 'hunter', 'hired', 'trade', 'federation', 'kidnapped', 'sister', 'imprisoned', 'tatooine', 'che', 'amanwe', 'proved', 'could', 'defend', 'quite', 'ably'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Pantora'], 'Gender': ['Female'], 'species': ['Pantoran']};;
Chewbacca;['Chewbacca'];A legendary Wookiee warrior and Han Solo’s longtime co-pilot, Chewbacca continues to serve as faithful first mate to carry out daring missions against the First Order behind the controls of the Millennium Falcon. Known as Chewie to his closest friends, he was part of a core group of rebels who restored freedom to the galaxy during the reign of the Galactic Empire. Known for his short temper and accuracy with a bowcaster, Chewie also has a big heart and unwavering loyalty to his friends. ;['legendary', 'wookiee', 'warrior', 'han', 'solo', 'longtime', 'co-pilot', 'chewbacca', 'continues', 'served', 'faithful', 'first', 'mate', 'carried', 'daring', 'mission', 'first', 'order', 'behind', 'control', 'millennium', 'falcon', 'known', 'chewie', 'closest', 'friend', 'part', 'core', 'group', 'rebel', 'restore', 'freedom', 'galaxy', 'reign', 'galactic', 'empire', 'known', 'short', 'temper', 'accuracy', 'bowcaster', 'chewie', 'also', 'big', 'heart', 'unwavering', 'loyalty', 'friend'];{'Appearances': ['Star Wars: A New Hope (Episode IV)', 'Star Wars: The Empire Strikes Back (Episode V)', 'Star Wars: Return of the Jedi (Episode VI)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Last Jedi (Episode VIII)', 'Solo: A Star Wars Story', 'Star Wars: The Rise of Skywalker (Episode IX)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Rebel Alliance', 'The Resistance'], 'Locations': ['Kashyyyk', 'Numidian Prime'], 'Gender': ['Male'], 'Dimensions': ['Height: 2.28m '], 'species': ['Wookiee'], 'Vehicles': ['Millennium Falcon', 'The Eravana'], 'Weapons': ['Bowcaster']};['Trandoshan', 'Ahsoka Tano', 'Yoda', 'Kashyyyk', 'Separatist', 'Republic', 'Yoda', 'Tarfful', 'Jedi', 'Empire', 'Mimban', 'Han Solo', 'Tobias Beckett’s', 'coaxium', 'conveyex', 'Vandor', 'Kessel', 'L3-37', 'Savareen', 'Dryden Vos', 'Numidian Prime', 'Lando Calrissian', '', 'Mos Eisley cantina', 'Obi-Wan Kenobi', 'Alderaan', 'Jedi', 'Luke Skywalker', 'stormtroopers', 'Millennium Falcon', 'Empire’s', 'Death Star', 'Princess Leia', 'Death Star', 'Rebel Alliance', 'Yavin', 'Hoth', 'Jabba the Hutt', 'C-3PO', 'Cloud City', 'Lando Calrissian', 'Boba Fett', 'Jabba’s Palace', 'Jabba', 'Sarlacc', 'Luke Skywalker', 'Endor', 'Ewoks', 'AT-ST', 'Empire’s', 'Rebels', 'Endor', 'Kashyyyk', 'Imperial', 'New Republic', 'Kylo Ren', 'Millennium Falcon', 'Resistance', 'Starkiller Base', 'Rey', 'Ahch-To', 'Luke', 'Falcon', 'Crait', 'Pasaana', 'Knights of Ren', 'the Resistance', 'Exegol'];
Chi Cho;['Chi Cho'];As the chairman of the Pantoran Assembly, Chi Cho, was an arrogant and ruthless leader who had no interest in seeking peaceful solutions to his problems. Hoping to use the Jedi as an instrument of blunt force to take back the planet of Orto Plutonia back for the Pantorans, Cho and the Jedi accompanying him (including Obi-Wan Kenobi and Anakin Skywalker) find nothing more than a deserted Separatist base. When it was discovered that a primitive group of Talz had claimed the moon for themselves, Cho almost single-handedly declares war against them and charges into an ill-conceived battle. He met his death at the end of a Talz’ spear.;['chairman', 'pantorans', 'assembled', 'chi', 'cho', 'arrogant', 'ruthless', 'leader', 'interest', 'seeking', 'peace', 'solutions', 'problem', 'hopes', 'used', 'jedi', 'instrument', 'blunt', 'force', 'take', 'back', 'planet', 'orto', 'plutonia', 'back', 'pantorans', 'cho', 'jedi', 'accompanied', 'including', 'obi-wan', 'kenobi', 'anakin', 'skywalker', 'find', 'nothing', 'desert', 'separatist', 'base', 'discovered', 'primitive', 'group', 'talz', 'claimed', 'moon', 'cho', 'almost', 'single-handedly', 'declared', 'wars', 'charge', 'ill-conceived', 'battle', 'met', 'death', 'end', 'talz', 'spear'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Pantoran Assembly'], 'Locations': ['Pantora', 'Orto Plutonia'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.98m '], 'species': ['Pantoran'], 'Vehicles': ['BARC Speeder']};;
Chi Eekway Papanoida;['Chi Eekway Papanoida'];The daughter of Pantora's Chairman Papanoida, Chi Eekway became a pawn in a high-stakes political game when bounty hunters hired by the Trade Federation kidnapped her and her sister. Ahsoka Tano and Riyo Chuchi freed Chi from captivity aboard a Trade Federation vessel.;['daughter', 'pantora', 'chairman', 'papanoida', 'chi', 'eekway', 'became', 'pawn', 'high-stakes', 'political', 'game', 'bounty', 'hunter', 'hired', 'trade', 'federation', 'kidnapped', 'sister', 'ahsoka', 'tano', 'riyo', 'chuchi', 'freed', 'chi', 'captive', 'aboard', 'trade', 'federation', 'vessel'];{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Pantora'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.65m '], 'species': ['Pantoran']};;
Chief Chirpa;['Chief Chirpa'];The chief of the Ewoks dwelling in Endor's Ewok village, Chief Chirpa agreed to join the struggle against the Empire, organizing war bands to fight the stormtroopers. As a sign of this commitment, he ordered that Luke Skywalker and his friends be adopted into his tribe.;['chief', 'ewok', 'dwelled', 'endor', 'ewok', 'village', 'chief', 'chirpa', 'agreed', 'joined', 'struggle', 'empire', 'organic', 'wars', 'band', 'fight', 'stormtrooper', 'sign', 'committed', 'order', 'luke', 'skywalker', 'friend', 'adopted', 'tribe'];{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Affiliations': ['Rebel Alliance'], 'Locations': ['Endor', 'Bright Tree Village'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.0m '], 'species': ['Ewok']};;
Chief Petty Officer Unamo;['Chief Petty Officer Unamo'];Chief Petty Officer Unamo served the First Order aboard the flagship Finalizer, supervising the massive Star Destroyer’s crew and reporting to higher-ranking members of the command crew such as Lieutenant Mitaka.;['chief', 'petty', 'officer', 'unamo', 'served', 'first', 'order', 'aboard', 'flagship', 'final', 'supervised', 'massive', 'star', 'destroyed', 'crew', 'reports', 'higher-ranking', 'member', 'commander', 'crew', 'lieutenant', 'mitaka'];{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The First Order'], 'Gender': ['Female'], 'species': ['Human'], 'Vehicles': ['Finalizer']};;
Chieftain Pieter;['Chieftain Pieter'];The elder leader of a town of Ming Po on Carlac, Chieftain Pieter hated the intruding Death Watch and their bullying ways. The marauding gang set up camp next to Pieter's town, and kidnapped many of the defenseless townspeople to toil as their servants. Pieter bravely confronted Vizsla, demanding the return of his people. Vizsla appeared to concede, but it was all a cruel ploy to teach Pieter a painful lesson.;['elder', 'leader', 'town', 'ming', 'po', 'carlac', 'chieftain', 'pieter', 'hated', 'intruded', 'death', 'watch', 'bully', 'way', 'marauder', 'gang', 'set', 'camp', 'next', 'pieter', 'town', 'kidnapped', 'many', 'defenseless', 'townspeople', 'toil', 'servant', 'pieter', 'brave', 'confronted', 'vizsla', 'demanding', 'return', 'people', 'vizsla', 'appearance', 'concede', 'cruel', 'ploy', 'teaching', 'pieter', 'painful', 'lesson'];{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Carlac'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.72m '], 'species': ['Ming Po']};;
Chirrut Îmwe;['Chirrut Îmwe'];Deeply spiritual, Chirrut Îmwe believes all living things are connected through the Force. His sightless eyes do not prevent him from being a highly skilled warrior. Though he lacks Force abilities, this warrior monk has rigorously honed his body through intense physical and mental discipline.;['deeply', 'spiritual', 'chirrut', 'îmwe', 'believed', 'living', 'things', 'connection', 'force', 'sightless', 'eyes', 'prevent', 'highly', 'skills', 'warrior', 'though', 'lack', 'force', 'ability', 'warrior', 'monk', 'rigorously', 'honed', 'body', 'intense', 'physical', 'mental', 'discipline'];"{'Appearances': ['Rogue One: A Star Wars Story'], 'Gender': ['Male'], 'Weapons': [""Chirrut Îmwe's Staff"", ""Chirrut Îmwe's Lightbow""]}";;
Chopper;['Chopper', 'C1-10P'];Chopper was the resident droid of the Ghost, assisting the crew in everything from ship maintenance to combat -- even though he didn't always want to. Recovered from a crashed ship on Ryloth, the droid was pulled from the wreckage and became a loyal companion to Hera Syndulla when she was still just a child. After many years of repairs and patch jobs, Chopper had a beat-up, worn look that matched his sometimes cranky personality. Aesthetics aside, he was an essential part of this small rebel team, and ultimately, was loyal and heroic.;"['chopper', 'resident', 'droid', 'ghost', 'assist', 'crew', 'everything', 'ship', 'maintenance', 'combat', 'even', 'though', ""n't"", 'always', 'wanted', 'recover', 'crash', 'ship', 'ryloth', 'droid', 'pulled', 'wreckage', 'became', 'loyal', 'companion', 'hera', 'syndulla', 'still', 'child', 'many', 'years', 'repairs', 'patch', 'job', 'chopper', 'beat-up', 'worn', 'looking', 'match', 'sometimes', 'cranky', 'personal', 'aesthetics', 'aside', 'essential', 'part', 'small', 'rebel', 'team', 'ultimately', 'loyal', 'heroic']";{'Appearances': ['Star Wars: The Bad Batch', 'Star Wars Rebels'], 'droid': ['Astromech Droid', 'E-XD Infiltrator Droid'], 'Tool': ['Sabacc'], 'Vehicles': ['Tactical Infiltration Pod']};['the Ghost', 'Empire', 'astromechs', 'stormtroopers', 'Horizon Base', 'AP-5', 'Hera', 'Ryloth', 'Ezra'];
Ciddarin 'Cid' Scaleback;"[""Ciddarin 'Cid' Scaleback""]";A seasoned smuggler, Cid keeps the Bad Batch employed on a variety of high-stakes missions to help keep her parlor on Ord Mantell afloat. Her numerous contacts once made her a valuable informant for the Jedi, but since the rise of the Empire Cid has turned her attention toward more profitable assignments while keeping her past concealed. ;['seasoned', 'smuggler', 'cid', 'keep', 'bad', 'batch', 'employed', 'variety', 'high-stakes', 'mission', 'help', 'keep', 'parlor', 'ord', 'mantell', 'afloat', 'numerous', 'contact', 'made', 'valuable', 'information', 'jedi', 'since', 'rise', 'empire', 'cid', 'turned', 'attention', 'towards', 'profitable', 'assigned', 'keep', 'past', 'concealed'];"{'Appearances': ['Star Wars: The Bad Batch'], 'Locations': [""Cid's Parlor""], 'Gender': ['Female'], 'species': ['Trandoshan']}";;
Cikatro Vizago;['Cikatro Vizago'];Once a leader of the Broken Horn crime syndicate on Lothal, Cikatro Vizago changed his ways (mostly) and now serves as captain of the Rebellion's stolen ore crawler.;['leader', 'broken', 'horn', 'crime', 'syndicate', 'lothal', 'cikatro', 'vizago', 'change', 'way', 'mostly', 'served', 'captain', 'rebellion', 'stolen', 'ore', 'crawler'];{'Appearances': ['Star Wars Rebels'], 'Locations': ['Devaron'], 'Gender': ['Male'], 'species': ['Devaronian'], 'Vehicles': ['Broken Horn']};"['Devaronian', ""Lothal's"", 'Ghost', 'Empire', 'Rebellion', 'ore crawler']";
Cin Drallig;['Cin Drallig'];"An esteemed Jedi  Master and a swordsman of great skill, Cin Drallig was the head of security for the Jedi Temple on Coruscant. He is in command of the Temple Guard assignments, and also serves as a lightsaber instructor, as all veteran Jedi are encouraged to pass on what they have learned to a new generation of Padawan learners. Though it smacks of disrespect, Drallig has earned the unflattering nickname of ""the Troll"" among the Order.";"['esteemed', 'jedi', 'master', 'swordsman', 'great', 'skills', 'cin', 'drallig', 'head', 'security', 'jedi', 'temple', 'coruscant', 'commander', 'temple', 'guard', 'assigned', 'also', 'served', 'lightsaber', 'instructor', 'veteran', 'jedi', 'encouraged', 'pass', 'learned', 'new', 'general', 'padawan', 'learner', 'though', 'smacks', 'disrespect', 'drallig', 'earned', 'unflattering', 'nickname', '``', 'troll', ""''"", 'among', 'order']";{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.74m '], 'Weapons': ['Lightsaber']};;
Cinta Kaz;['Cinta Kaz'];Deceptively young and small in stature, Cinta Kaz is a cold, steely rebel warrior who effectively uses the overconfidence of her enemies to formulate her attacks. Easily overlooked, Cinta puts the cause first, sneaking into position aiming to inflict maximum damage to the Empire.;['deception', 'young', 'small', 'stature', 'cinta', 'kaz', 'cold', 'steely', 'rebel', 'warrior', 'effective', 'used', 'overconfident', 'enemies', 'formulate', 'attack', 'easily', 'overlooked', 'cinta', 'put', 'cause', 'first', 'sneak', 'position', 'aims', 'inflict', 'maximum', 'damage', 'empire'];{'Appearances': ['Andor']};;
Cleat;['Cleat'];Cleat is known as Phoenix Four in the Rebellion's vaunted Phoenix Squadron. A gifted pilot, Cleat is eager to serve the fight against the Empire.;['cleat', 'known', 'phoenix', 'four', 'rebellion', 'vaunted', 'phoenix', 'squadron', 'gifted', 'pilot', 'cleat', 'eager', 'served', 'fight', 'empire'];{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Rebel Alliance', 'Rebel Pilots', 'Phoenix Squadron'], 'Gender': ['Female'], 'species': ['Human'], 'Vehicles': ['X-wing Starfighter']};;
Clegg Holdfast;['Clegg Holdfast'];An arrogant journalist for Podracing Quarterly, Clegg Holdfast considered himself an expert racer and loved showing off his chestful of medals. His fancy decorations did Holdfast no good during the Boonta Eve Classic: On the race’s second lap, Sebulba’s illegal flame-jets cooked Holdfast’s engines, causing him to crash into the desert.;['arrogant', 'journalist', 'podracer', 'quarterly', 'clegg', 'holdfast', 'considered', 'expert', 'racer', 'love', 'showing', 'chestful', 'medals', 'fancied', 'decorated', 'holdfast', 'good', 'boonta', 'eve', 'classic', 'race', 'second', 'lap', 'sebulba', 'illegal', 'flame-jets', 'cooked', 'holdfast', 'engineer', 'cause', 'crash', 'desert'];{'Appearances': ['Star Wars: The Phantom Menace (Episode I)'], 'Affiliations': ['Boonta Eve Classic Podracer Pilots'], 'Locations': ['Tatooine'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.52m '], 'Vehicles': ['Podracer']};;
Clem Andor;['Clem Andor'];Clem Andor and his wife, Maarva, are salvagers who make their home on the planet Ferrix. Clem is a skilled mechanic, able to refurbish and maintain machinery that would have been long-abandoned by the less committed or skillful. Together, they traverse the galaxy in search of unclaimed tech.;['clem', 'andor', 'wife', 'maarva', 'salvage', 'make', 'home', 'planet', 'ferrix', 'clem', 'skills', 'mechanical', 'able', 'refurbishment', 'maintain', 'machinery', 'would', 'long-abandoned', 'less', 'committed', 'skills', 'together', 'traverse', 'galaxy', 'search', 'unclaimed', 'tech'];{'Appearances': ['Andor']};;
Cliegg Lars;['Cliegg Lars'];Cliegg Lars was a modest, good-hearted moisture farmer who lived on the Lars homestead, not far from the township of Anchorhead. During a trip to the bustling spaceport of Mos Espa, Cliegg fell in love with Shmi Skywalker, a slave owned by Toydarian junk trader Watto.    Cliegg purchased Shmi's freedom and, soon after, made her his bride. They lived a quiet existence for years on the homestead, surviving against the harsh desert elements. With Owen, Cliegg's son from a previous union, and Owen's girlfriend Beru Whitesun, the Lars homestead was a tiny island of familial warmth amidst the endless desert wastes. Until tragedy struck...;['cliegg', 'lars', 'modest', 'good-hearted', 'moisture', 'farmer', 'living', 'lars', 'homestead', 'far', 'township', 'anchorhead', 'trip', 'bustling', 'spaceport', 'mos', 'espa', 'cliegg', 'fell', 'love', 'shmi', 'skywalker', 'slave', 'own', 'toydarian', 'junk', 'trader', 'watto', 'cliegg', 'purchased', 'shmi', 'freedom', 'soon', 'made', 'bride', 'living', 'quiet', 'existence', 'years', 'homestead', 'survived', 'harsh', 'desert', 'element', 'owen', 'cliegg', 'son', 'previous', 'union', 'owen', 'girlfriend', 'beru', 'whitesun', 'lars', 'homestead', 'tiny', 'island', 'family', 'warmth', 'amidst', 'endless', 'desert', 'waste', 'tragedy', 'struck'];{'Appearances': ['Star Wars: Attack of the Clones (Episode II)'], 'Locations': ['Tatooine', 'Lars Farm'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m ']};;
Clink;['Clink'];An astromech with no patience for impropriety, Clink does not suffer fools or the interruption of orderly function in the store room of a trader's post.;['astromech', 'patience', 'impropriety', 'clink', 'suffer', 'fools', 'interrupted', 'orderly', 'functions', 'store', 'room', 'trader', 'post'];{'Appearances': ['Star Wars: The Bad Batch'], 'Locations': ['Pantora'], 'star wars': ['Droid']};;
Clone 99;['Clone 99'];"During the Clone Wars, Clone 99 was a malformed result of the cloning process. Due to his genetic defects and physical limitations, he was considered unfit for combat, and remained behind on Kamino to support the training efforts of his clone ""brothers."" Though his responsibilities were menial and his job consisted primarily of janitorial duties, he took pride in his work and in his connection to the Republic's noble heroes. Despite (or perhaps because of) his physical shortcomings, Clone 99 was gentle, thoughtful and wise, offering a unique perspective for cadets facing the rigors of military training. During the Separatist invasion of Tipoca City, he assisted a group of clone cadets in their defense of the cloning facility.";"['clone', 'wars', 'clone', 'malformed', 'result', 'clone', 'process', 'due', 'genetic', 'defected', 'physical', 'limits', 'considered', 'unfit', 'combat', 'remain', 'behind', 'kamino', 'support', 'training', 'efforts', 'clone', '``', 'brother', ""''"", 'though', 'responsibility', 'menial', 'job', 'consisted', 'primarily', 'janitorial', 'duty', 'took', 'pride', 'work', 'connection', 'republic', 'noble', 'hero', 'despite', 'perhaps', 'physical', 'shortcomings', 'clone', 'gentle', 'thought', 'wise', 'offered', 'unique', 'perspective', 'cadets', 'face', 'rigorously', 'military', 'training', 'separatist', 'invasion', 'tipoca', 'city', 'assist', 'group', 'clone', 'cadets', 'defense', 'clone', 'facility']";{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.68m ']};;
Clone Captain Grey;['Clone Captain Grey'];Serving under Jedi General Depa Billaba throughout the Clone Wars, Captain Grey is a trusted soldier. He is stationed on Kaller during Order 66 and helps to bring about the end of the Clone Wars. ;['served', 'jedi', 'general', 'depa', 'billaba', 'throughout', 'clone', 'wars', 'captain', 'grey', 'trust', 'soldiers', 'station', 'kaller', 'order', 'help', 'bring', 'end', 'clone', 'wars'];{'Appearances': ['Star Wars: The Bad Batch'], 'Gender': ['Male']};;
Clone Captain Howzer;['Clone Captain Howzer'];Having been deployed by the Republic to Ryloth during the Clone Wars, clone Captain Howzer now serves the Empire on the planet as it promises to protect and defend its people. ;['deployed', 'republic', 'ryloth', 'clone', 'wars', 'clone', 'captain', 'howzer', 'served', 'empire', 'planet', 'promise', 'protecting', 'defend', 'people'];{'Appearances': ['Star Wars: The Bad Batch']};;
Clone Captain Rex;['Clone Captain Rex'];Rex once served the Republic on the frontlines during the Clone Wars,  taking orders from Anakin Skywalker and Ahsoka Tano as first a captain and later a commander. He viewed military service as an honor, and his loyalty to the Republic and his Jedi Generals was absolute. But  when Order 66 was executed, it was Ahsoka who helped to free Rex from the programming of his inhibitor chip. At the dawn of the Empire, Rex has escaped with his life but is considered killed-in-action in the eyes of the new regime. That allows him to operate in the shadows and help any clone brothers who remain separate from the Imperial ranks. ;['rex', 'served', 'republic', 'frontlines', 'clone', 'wars', 'take', 'order', 'anakin', 'skywalker', 'ahsoka', 'tano', 'first', 'captain', 'later', 'commander', 'view', 'military', 'service', 'honor', 'loyalty', 'republic', 'jedi', 'general', 'absolute', 'order', 'executed', 'ahsoka', 'help', 'free', 'rex', 'programming', 'inhibitor', 'chip', 'dawn', 'empire', 'rex', 'escape', 'life', 'considered', 'killed-in-action', 'eyes', 'new', 'regime', 'allowed', 'operations', 'shadow', 'help', 'clone', 'brother', 'remain', 'separate', 'imperial', 'ranks'];{'Appearances': ['Star Wars: The Bad Batch', 'Star Wars: The Clone Wars', 'Star Wars Rebels', 'Tales of the Jedi'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol', 'Blaster Rifle'], 'Vehicles': ['BARC Speeder', 'AT-TE Walker']};['Anakin Skywalker', 'Ahsoka Tano', 'Separatists', 'battle droids', 'General Pong Krell', 'Republic', 'clone troopers', 'battle droids', 'General Pong Krell', 'Skako Minor', 'Anakin Skywalker', 'the Bad Batch', 'Ahsoka Tano', 'Mandalore', 'Maul', 'Darth Sidious', 'Ahsoka', 'Ahsoka Tano', 'Y-wing', 'Wolffe', 'Gregor', 'Seelos', 'joopa', 'Ghost', 'Kanan', 'probe droid'];
Clone Commander Bacara;['Clone Commander Bacara'];Clone Commander Bacara (clone designation CC-1138) was the leader of the Galactic Marines, a unit of clone troopers famous for their distinctive armor and relentlessness in combat. Known for his aggressive tactics, Bacara led Republic forces against the Separatists during the Outer Rim Sieges, culminating in the assault on Mygeeto.;['clone', 'commander', 'bacara', 'clone', 'designation', 'cc-1138', 'leader', 'galactic', 'marines', 'unit', 'clone', 'troopers', 'famous', 'distinct', 'armor', 'relentless', 'combat', 'known', 'aggressive', 'tactical', 'bacara', 'led', 'republic', 'force', 'separatist', 'outer', 'rim', 'siege', 'culminating', 'assault', 'mygeeto'];{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m ']};;
Clone Commander Bly;['Clone Commander Bly'];A veteran of many Clone Wars battles, Clone Commander Bly (clone designation CC-5052) served in the 327th Star Corps on such worlds as Quell, Maridun, and Felucia. Bly developed a close working relationship with Jedi General Aayla Secura, who was always reassured to know the dependable clone trooper had her back.;['veteran', 'many', 'clone', 'wars', 'battle', 'clone', 'commander', 'bly', 'clone', 'designation', 'cc-5052', 'served', '327th', 'star', 'corps', 'world', 'quell', 'maridun', 'felucia', 'bly', 'developed', 'close', 'work', 'relationship', 'jedi', 'general', 'aayla', 'secura', 'always', 'reassured', 'knows', 'dependable', 'clone', 'troopers', 'back'];{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Rifle']};;
